"","BIC","MAP","SPBIC"
"iso_combo2_74",-1359.90950814678,-249.578628618613,-1353.68297147749
"iso_combo2_75",-1365.91901954623,-255.588140018063,-1359.69248287694
"iso_combo2_76",-1354.40830111974,-244.077421591573,-1348.18176445045
"iso_combo2_77",-1171.41450541267,-61.0836258845011,-1165.18796874338
"iso_combo2_78",-1360.30556867717,-249.974689149009,-1354.07903200789
"iso_combo2_79",-1316.85134208318,-206.520462555014,-1310.62480541389
"iso_combo2_80",-1337.72096644148,-227.390086913315,-1331.49442977219
"iso_combo2_81",-1326.4532998986,-216.122420370438,-1320.22676322931
"iso_combo2_82",-1338.85607771275,-228.525198184585,-1332.62954104346
"iso_combo2_83",-1334.02186026238,-223.690980734213,-1327.79532359309
"iso_combo2_84",-1222.24589331923,-111.915013791066,-1216.01935664994
"iso_combo2_85",-1459.70014194575,-349.369262417591,-1453.47360527647
"iso_combo2_86",-1452.76063549732,-342.429755969156,-1446.53409882803
"iso_combo2_87",-1459.17110579132,-348.840226263156,-1452.94456912203
"iso_combo2_88",-1419.07754652299,-308.746666994825,-1412.8510098537
"iso_combo2_89",-1452.49583690585,-342.164957377688,-1446.26930023656
"iso_combo2_90",-1255.32154086376,-144.990661335593,-1249.09500419447
"iso_combo2_91",-1396.9782755816,-286.64739605344,-1390.75173891232
"iso_combo2_92",-1399.16854570202,-288.837666173853,-1392.94200903273
"iso_combo2_93",-1365.854862412,-255.523982883833,-1359.62832574271
"iso_combo2_94",-1401.80293072162,-291.472051193455,-1395.57639405233
"iso_combo2_95",-1220.03624063586,-109.705361107696,-1213.80970396657
"iso_combo2_96",-1451.33318021319,-341.002300685021,-1445.1066435439
"iso_combo2_97",-1449.47125841122,-339.140378883051,-1443.24472174193
"iso_combo2_98",-1432.5567551164,-322.225875588237,-1426.33021844711
"iso_combo2_99",-1234.65020018334,-124.319320655177,-1228.42366351405
"iso_combo2_100",-1443.90302233293,-333.572142804763,-1437.67648566364
"iso_combo2_101",-1419.77740747881,-309.446527950647,-1413.55087080952
"iso_combo2_102",-1218.3486761179,-108.017796589734,-1212.12213944861
"iso_combo2_103",-1408.21932417241,-297.888444644249,-1401.99278750313
"iso_combo2_104",-1173.41815881694,-63.0872792887731,-1167.19162214765
"iso_combo2_105",-1246.95678986921,-136.625910341049,-1240.73025319993
"iso_combo3_1",-1352.84276968714,-242.511890158972,-1346.61623301785
"iso_combo3_2",-1359.71466372631,-249.383784198145,-1353.48812705702
"iso_combo3_3",-1331.26966928432,-220.938789756159,-1325.04313261504
"iso_combo3_4",-1347.09110198127,-236.76022245311,-1340.86456531199
"iso_combo3_5",-1378.94956219436,-268.618682666196,-1372.72302552507
"iso_combo3_6",-1292.03383261572,-181.702953087553,-1285.80729594643
"iso_combo3_7",-1381.14903882629,-270.818159298123,-1374.922502157
"iso_combo3_8",-1344.28608858586,-233.955209057695,-1338.05955191657
"iso_combo3_9",-1339.32219057198,-228.991311043813,-1333.09565390269
"iso_combo3_10",-1354.25991892054,-243.929039392372,-1348.03338225125
"iso_combo3_11",-1357.42590079399,-247.095021265828,-1351.1993641247
"iso_combo3_12",-1363.68607163677,-253.355192108608,-1357.45953496748
"iso_combo3_13",-1155.50436960006,-45.1734900718924,-1149.27783293077
"iso_combo3_14",-1392.05958573448,-281.728706206313,-1385.83304906519
"iso_combo3_15",-1357.13785554624,-246.806976018072,-1350.91131887695
"iso_combo3_16",-1391.33101205801,-281.000132529843,-1385.10447538872
"iso_combo3_17",-1300.29762343689,-189.966743908722,-1294.0710867676
"iso_combo3_18",-1258.57308815933,-148.242208631164,-1252.34655149004
"iso_combo3_19",-1388.3974468169,-278.066567288733,-1382.17091014761
"iso_combo3_20",-1337.39898550203,-227.068105973861,-1331.17244883274
"iso_combo3_21",-1386.7240559712,-276.39317644304,-1380.49751930192
"iso_combo3_22",-1375.02014215499,-264.689262626824,-1368.7936054857
"iso_combo3_23",-1370.76835828265,-260.437478754483,-1364.54182161336
"iso_combo3_24",-1367.21373058672,-256.882851058553,-1360.98719391743
"iso_combo3_25",-1189.22863350818,-78.897753980017,-1183.00209683889
"iso_combo3_26",-1407.45636483275,-297.125485304583,-1401.22982816346
"iso_combo3_27",-1481.38605403463,-371.055174506462,-1475.15951736534
"iso_combo3_28",-1368.6756588249,-258.344779296738,-1362.44912215562
"iso_combo3_29",-1350.9764904241,-240.645610895938,-1344.74995375482
"iso_combo3_30",-1444.33172078232,-334.000841254155,-1438.10518411303
"iso_combo3_31",-1363.3416959273,-253.010816399139,-1357.11515925802
"iso_combo3_32",-1420.15872567642,-309.827846148253,-1413.93218900713
"iso_combo3_33",-1403.04573822127,-292.714858693102,-1396.81920155198
"iso_combo3_34",-1408.84349024146,-298.512610713295,-1402.61695357217
"iso_combo3_35",-1435.07075773615,-324.739878207989,-1428.84422106687
"iso_combo3_36",-1210.68180421002,-100.350924681859,-1204.45526754074
"iso_combo3_37",-1370.66855890981,-260.337679381643,-1364.44202224052
"iso_combo3_38",-1359.04642557028,-248.715546042113,-1352.81988890099
"iso_combo3_39",-1321.07475175413,-210.743872225968,-1314.84821508485
"iso_combo3_40",-1407.97552658024,-297.644647052074,-1401.74898991095
"iso_combo3_41",-1372.90176698395,-262.570887455783,-1366.67523031466
"iso_combo3_42",-1397.62025651953,-287.289376991363,-1391.39371985024
"iso_combo3_43",-1397.56919965424,-287.238320126074,-1391.34266298495
"iso_combo3_44",-1401.41291923235,-291.082039704189,-1395.18638256307
"iso_combo3_45",-1379.00697067859,-268.676091150421,-1372.7804340093
"iso_combo3_46",-1191.13514588948,-80.8042663613187,-1184.9086092202
"iso_combo3_47",-1349.0944794623,-238.763599934138,-1342.86794279301
"iso_combo3_48",-1362.86256155791,-252.531682029745,-1356.63602488862
"iso_combo3_49",-1473.51144652758,-363.180566999417,-1467.28490985829
"iso_combo3_50",-1392.95122443521,-282.620344907044,-1386.72468776592
"iso_combo3_51",-1407.72825311513,-297.397373586966,-1401.50171644584
"iso_combo3_52",-1419.21982943778,-308.88894990962,-1412.9932927685
"iso_combo3_53",-1402.58237897408,-292.251499445912,-1396.35584230479
"iso_combo3_54",-1477.29400080276,-366.963121274598,-1471.06746413347
"iso_combo3_55",-1217.96293871118,-107.632059183015,-1211.73640204189
"iso_combo3_56",-1271.46569905447,-161.134819526309,-1265.23916238519
"iso_combo3_57",-1409.16451284391,-298.833633315741,-1402.93797617462
"iso_combo3_58",-1332.56835087344,-222.237471345273,-1326.34181420415
"iso_combo3_59",-1384.95250874285,-274.621629214683,-1378.72597207356
"iso_combo3_60",-1374.67987128058,-264.348991752414,-1368.45333461129
"iso_combo3_61",-1361.67218610307,-251.341306574904,-1355.44564943378
"iso_combo3_62",-1351.71587662188,-241.384997093713,-1345.48933995259
"iso_combo3_63",-1154.5475351015,-44.216655573336,-1148.32099843221
"iso_combo3_64",-1323.78361486314,-213.452735334973,-1317.55707819385
"iso_combo3_65",-1303.45194341265,-193.121063884485,-1297.22540674336
"iso_combo3_66",-1321.79753242714,-211.466652898971,-1315.57099575785
"iso_combo3_67",-1313.82608647426,-203.495206946092,-1307.59954980497
"iso_combo3_68",-1329.39051784665,-219.059638318487,-1323.16398117736
"iso_combo3_69",-1334.67588584923,-224.345006321062,-1328.44934917994
"iso_combo3_70",-1195.72444550906,-85.3935659808999,-1189.49790883978
"iso_combo3_71",-1414.50810358563,-304.177224057461,-1408.28156691634
"iso_combo3_72",-1425.00377951798,-314.672899989819,-1418.7772428487
"iso_combo3_73",-1411.32634161766,-300.995462089495,-1405.09980494837
"iso_combo3_74",-1401.13328762973,-290.802408101567,-1394.90675096044
"iso_combo3_75",-1417.48126150818,-307.150381980017,-1411.25472483889
"iso_combo3_76",-1217.96047887347,-107.629599345301,-1211.73394220418
"iso_combo3_77",-1382.89898569829,-272.568106170128,-1376.672449029
"iso_combo3_78",-1348.46275801871,-238.131878490546,-1342.23622134942
"iso_combo3_79",-1358.94509452354,-248.614214995378,-1352.71855785426
"iso_combo3_80",-1353.03808342481,-242.707203896648,-1346.81154675552
"iso_combo3_81",-1186.3595937705,-76.028714242331,-1180.13305710121
"iso_combo3_82",-1437.18127621394,-326.850396685777,-1430.95473954465
"iso_combo3_83",-1430.83330140171,-320.502421873545,-1424.60676473242
"iso_combo3_84",-1415.854992133,-305.524112604833,-1409.62845546371
"iso_combo3_85",-1184.37182124936,-74.0409417211995,-1178.14528458008
"iso_combo3_86",-1410.00480023733,-299.673920709167,-1403.77826356804
"iso_combo3_87",-1393.0801065613,-282.74922703314,-1386.85356989202
"iso_combo3_88",-1182.59454728057,-72.2636677524077,-1176.36801061128
"iso_combo3_89",-1398.45154705534,-288.120667527174,-1392.22501038605
"iso_combo3_90",-1171.29383623067,-60.9629567025074,-1165.06729956138
"iso_combo3_91",-1206.84410302191,-96.5132234937431,-1200.61756635262
"iso_combo3_92",-1364.30108939361,-253.970209865451,-1358.07455272433
"iso_combo3_93",-1351.07388523716,-240.743005708995,-1344.84734856787
"iso_combo3_94",-1382.77721335428,-272.446333826114,-1376.55067668499
"iso_combo3_95",-1343.74823977962,-233.417360251458,-1337.52170311034
"iso_combo3_96",-1238.06394212963,-127.733062601464,-1231.83740546034
"iso_combo3_97",-1364.35374733564,-254.022867807472,-1358.12721066635
"iso_combo3_98",-1317.43863243796,-207.107752909791,-1311.21209576867
"iso_combo3_99",-1363.92237833875,-253.591498810584,-1357.69584166946
"iso_combo3_100",-1344.54370774178,-234.212828213611,-1338.31717107249
"iso_combo3_101",-1355.96843898188,-245.637559453711,-1349.74190231259
"iso_combo3_102",-1345.14052357696,-234.809644048794,-1338.91398690767
"iso_combo3_103",-1178.34982027848,-68.0189407503156,-1172.12328360919
"iso_combo3_104",-1360.65529500841,-250.324415480246,-1354.42875833912
"iso_combo3_105",-1406.25224041898,-295.921360890813,-1400.02570374969
"iso_combo3_106",-1350.76860107865,-240.437721550486,-1344.54206440936
"iso_combo3_107",-1329.56251798888,-219.231638460717,-1323.33598131959
"iso_combo3_108",-1388.21506588962,-277.884186361452,-1381.98852922033
"iso_combo3_109",-1318.3594339502,-208.028554422036,-1312.13289728091
"iso_combo3_110",-1382.84059535815,-272.509715829983,-1376.61405868886
"iso_combo3_111",-1373.98032900642,-263.64944947826,-1367.75379233714
"iso_combo3_112",-1365.43532165517,-255.104442127003,-1359.20878498588
"iso_combo3_113",-1388.000984544,-277.670105015836,-1381.77444787471
"iso_combo3_114",-1179.49826305762,-69.1673835294516,-1173.27172638833
"iso_combo3_115",-1351.9095899062,-241.57871037804,-1345.68305323692
"iso_combo3_116",-1365.90284768572,-255.571968157556,-1359.67631101643
"iso_combo3_117",-1291.63370679762,-181.302827269454,-1285.40717012833
"iso_combo3_118",-1360.03103094696,-249.700151418793,-1353.80449427767
"iso_combo3_119",-1339.66110052073,-229.330220992566,-1333.43456385144
"iso_combo3_120",-1379.36976371254,-269.038884184376,-1373.14322704325
"iso_combo3_121",-1373.18064588947,-262.849766361307,-1366.95410922018
"iso_combo3_122",-1373.84121336326,-263.510333835094,-1367.61467669397
"iso_combo3_123",-1339.84521303806,-229.514333509897,-1333.61867636877
"iso_combo3_124",-1176.08211452343,-65.7512349952625,-1169.85557785414
"iso_combo3_125",-1365.24327833205,-254.912398803888,-1359.01674166276
"iso_combo3_126",-1331.35662830247,-221.025748774305,-1325.13009163318
"iso_combo3_127",-1391.99993051348,-281.669050985316,-1385.77339384419
"iso_combo3_128",-1331.0036157754,-220.672736247231,-1324.77707910611
"iso_combo3_129",-1361.00812567702,-250.677246148852,-1354.78158900773
"iso_combo3_130",-1360.52500719806,-250.194127669898,-1354.29847052878
"iso_combo3_131",-1342.53060768926,-232.199728161096,-1336.30407101997
"iso_combo3_132",-1410.31937111413,-299.98849158597,-1404.09283444485
"iso_combo3_133",-1199.76730907462,-89.436429546451,-1193.54077240533
