"","BIC","MAP","SPBIC"
"iso_combo5_313",-1123.85018114309,-13.5193016149288,-1117.62364447381
"iso_combo5_314",-1241.36804585575,-131.037166327588,-1235.14150918646
"iso_combo5_315",-1209.69427387728,-99.3633943491135,-1203.46773720799
"iso_combo5_316",-1253.05741626233,-142.726536734165,-1246.83087959304
"iso_combo5_317",-1240.10884718294,-129.777967654773,-1233.88231051365
"iso_combo5_318",-1252.99071819061,-142.65983866245,-1246.76418152133
"iso_combo5_319",-1214.27458333633,-103.943703808163,-1208.04804666704
"iso_combo5_320",-1122.23439927273,-11.9035197445617,-1116.00786260344
"iso_combo5_321",-1312.89721815463,-202.566338626466,-1306.67068148534
"iso_combo5_322",-1362.75297642204,-252.422096893879,-1356.52643975276
"iso_combo5_323",-1337.47752879997,-227.146649271802,-1331.25099213068
"iso_combo5_324",-1358.98322459568,-248.652345067511,-1352.75668792639
"iso_combo5_325",-1327.21244216525,-216.881562637083,-1320.98590549596
"iso_combo5_326",-1154.89263963427,-44.5617601061044,-1148.66610296498
"iso_combo5_327",-1310.78901041668,-200.45813088852,-1304.5624737474
"iso_combo5_328",-1341.27832431546,-230.947444787291,-1335.05178764617
"iso_combo5_329",-1336.86141680856,-226.530537280399,-1330.63488013928
"iso_combo5_330",-1328.66454439044,-218.33366486228,-1322.43800772116
"iso_combo5_331",-1136.38358610814,-26.0527065799781,-1130.15704943885
"iso_combo5_332",-1354.4165026931,-244.085623164933,-1348.18996602381
"iso_combo5_333",-1358.48561647379,-248.154736945626,-1352.2590798045
"iso_combo5_334",-1348.6535330899,-238.322653561734,-1342.42699642061
"iso_combo5_335",-1156.49308339568,-46.1622038675134,-1150.26654672639
"iso_combo5_336",-1358.38514857003,-248.054269041862,-1352.15861190074
"iso_combo5_337",-1350.99688113875,-240.666001610584,-1344.77034446946
"iso_combo5_338",-1148.85218490992,-38.5213053817554,-1142.62564824063
"iso_combo5_339",-1336.0359053389,-225.705025810737,-1329.80936866961
"iso_combo5_340",-1141.05497346537,-30.7240939372097,-1134.82843679609
"iso_combo5_341",-1169.21164022843,-58.880760700264,-1162.98510355914
"iso_combo5_342",-1268.7462945383,-158.415415010137,-1262.51975786901
"iso_combo5_343",-1227.53013237789,-117.199252849721,-1221.3035957086
"iso_combo5_344",-1316.09944885399,-205.76856932583,-1309.87291218471
"iso_combo5_345",-1313.08651628566,-202.755636757491,-1306.85997961637
"iso_combo5_346",-1331.74341742467,-221.412537896504,-1325.51688075538
"iso_combo5_347",-1344.03684941063,-233.705969882463,-1337.81031274134
"iso_combo5_348",-1350.82090073952,-240.490021211359,-1344.59436407024
"iso_combo5_349",-1300.22094456455,-189.890065036386,-1293.99440789526
"iso_combo5_350",-1164.87292032837,-54.5420408002039,-1158.64638365908
"iso_combo5_351",-1195.44538901938,-85.1145094912187,-1189.2188523501
"iso_combo5_352",-1307.20653472634,-196.875655198174,-1300.97999805705
"iso_combo5_353",-1279.5996346221,-169.268755093938,-1273.37309795282
"iso_combo5_354",-1303.38279896632,-193.051919438153,-1297.15626229703
"iso_combo5_355",-1293.90584208512,-183.574962556952,-1287.67930541583
"iso_combo5_356",-1302.2882893933,-191.957409865137,-1296.06175272401
"iso_combo5_357",-1289.33284763917,-179.001968111007,-1283.10631096988
"iso_combo5_358",-1117.60076063598,-7.26988110781281,-1111.37422396669
"iso_combo5_359",-1223.31122153522,-112.980342007054,-1217.08468486593
"iso_combo5_360",-1211.43729262112,-101.106413092958,-1205.21075595184
"iso_combo5_361",-1238.93351621353,-128.602636685367,-1232.70697954424
"iso_combo5_362",-1233.3360473821,-123.00516785394,-1227.10951071282
"iso_combo5_363",-1233.44673691132,-123.115857383153,-1227.22020024203
"iso_combo5_364",-1193.33820112414,-83.0073215959795,-1187.11166445486
"iso_combo5_365",-1100.55690661684,9.7739729113249,-1094.33036994755
"iso_combo5_366",-1304.78450856989,-194.453629041723,-1298.5579719006
"iso_combo5_367",-1332.75389496799,-222.423015439829,-1326.52735829871
"iso_combo5_368",-1342.29021942228,-231.959339894117,-1336.06368275299
"iso_combo5_369",-1341.65746530869,-231.326585780529,-1335.43092863941
"iso_combo5_370",-1299.51133754834,-189.180458020171,-1293.28480087905
"iso_combo5_371",-1138.7252613483,-28.3943818201313,-1132.49872467901
"iso_combo5_372",-1299.06336749987,-188.732487971704,-1292.83683083058
"iso_combo5_373",-1309.55167248121,-199.220792953046,-1303.32513581192
"iso_combo5_374",-1304.20418043891,-193.873300910746,-1297.97764376962
"iso_combo5_375",-1302.60072693181,-192.269847403649,-1296.37419026253
"iso_combo5_376",-1123.57539561223,-13.2445160840675,-1117.34885894294
"iso_combo5_377",-1348.29565548357,-237.964775955401,-1342.06911881428
"iso_combo5_378",-1351.76012787353,-241.429248345366,-1345.53359120424
"iso_combo5_379",-1326.5186166064,-216.187737078235,-1320.29207993711
"iso_combo5_380",-1153.96208413017,-43.6312046020048,-1147.73554746088
"iso_combo5_381",-1340.06677449883,-229.735894970665,-1333.84023782954
"iso_combo5_382",-1331.98713493191,-221.65625540375,-1325.76059826263
"iso_combo5_383",-1145.52465376998,-35.1937742418176,-1139.29811710069
"iso_combo5_384",-1323.53740492183,-213.206525393662,-1317.31086825254
"iso_combo5_385",-1148.73600665104,-38.4051271228783,-1142.50946998176
"iso_combo5_386",-1153.72573367554,-43.3948541473711,-1147.49919700625
"iso_combo5_387",-1183.05789161178,-72.7270120836132,-1176.83135494249
"iso_combo5_388",-1302.08205562594,-191.751176097779,-1295.85551895666
"iso_combo5_389",-1280.55795946259,-170.227079934424,-1274.3314227933
"iso_combo5_390",-1295.96347698877,-185.632597460605,-1289.73694031948
"iso_combo5_391",-1296.97765983817,-186.646780310006,-1290.75112316888
"iso_combo5_392",-1291.48233516471,-181.15145563655,-1285.25579849543
"iso_combo5_393",-1261.89755226998,-151.566672741813,-1255.67101560069
"iso_combo5_394",-1119.40348231587,-9.07260278770593,-1113.17694564658
"iso_combo5_395",-1211.06069209573,-100.729812567568,-1204.83415542644
"iso_combo5_396",-1212.64868909457,-102.317809566403,-1206.42215242528
"iso_combo5_397",-1229.15508320997,-118.824203681806,-1222.92854654068
"iso_combo5_398",-1231.01788625454,-120.687006726379,-1224.79134958526
"iso_combo5_399",-1227.67464610913,-117.343766580967,-1221.44810943984
"iso_combo5_400",-1204.2454319172,-93.9145523890402,-1198.01889524792
"iso_combo5_401",-1125.45126189881,-15.1203823706502,-1119.22472522953
"iso_combo5_402",-1343.52063048631,-233.189750958146,-1337.29409381702
"iso_combo5_403",-1359.5595204834,-249.228640955232,-1353.33298381411
"iso_combo5_404",-1360.8632999366,-250.532420408434,-1354.63676326731
"iso_combo5_405",-1355.94262999298,-245.61175046482,-1349.7160933237
"iso_combo5_406",-1333.41465971752,-223.083780189356,-1327.18812304823
"iso_combo5_407",-1180.970803191,-70.6399236628353,-1174.74426652171
"iso_combo5_408",-1323.98768587555,-213.656806347389,-1317.76114920627
"iso_combo5_409",-1322.48946957312,-212.158590044951,-1316.26293290383
"iso_combo5_410",-1318.03585376205,-207.704974233883,-1311.80931709276
"iso_combo5_411",-1330.8150248761,-220.484145347932,-1324.58848820681
"iso_combo5_412",-1161.60377040921,-51.2728908810482,-1155.37723373993
"iso_combo5_413",-1348.77103366455,-238.44015413639,-1342.54449699527
"iso_combo5_414",-1341.71655604617,-231.385676518007,-1335.49001937688
"iso_combo5_415",-1375.3100216337,-264.979142105536,-1369.08348496441
"iso_combo5_416",-1174.54424959463,-64.2133700664696,-1168.31771292535
"iso_combo5_417",-1358.87623741509,-248.545357886927,-1352.6497007458
"iso_combo5_418",-1354.31805408488,-243.98717455672,-1348.0915174156
"iso_combo5_419",-1170.84414017076,-60.5132606425966,-1164.61760350147
"iso_combo5_420",-1345.98527989043,-235.654400362266,-1339.75874322114
"iso_combo5_421",-1162.39027400398,-52.0593944758202,-1156.1637373347
"iso_combo5_422",-1179.40248668706,-69.071607158896,-1173.17595001777
"iso_combo5_423",-1195.4004378242,-85.0695582960332,-1189.17390115491
"iso_combo5_424",-1185.11794223566,-74.7870627075006,-1178.89140556638
"iso_combo5_425",-1179.72175135441,-69.3908718262486,-1173.49521468513
"iso_combo5_426",-1208.56271803366,-98.2318385054961,-1202.33618136437
"iso_combo5_427",-1216.57790279911,-106.247023270947,-1210.35136612982
"iso_combo5_428",-1191.36275719344,-81.0318776652753,-1185.13622052415
"iso_combo5_429",-1072.73412388339,37.5967556447738,-1066.5075872141
"iso_combo5_430",-1321.13206303365,-210.801183505488,-1314.90552636437
"iso_combo5_431",-1324.50038147049,-214.16950194233,-1318.27384480121
"iso_combo5_432",-1317.88928557385,-207.558406045685,-1311.66274890456
"iso_combo5_433",-1316.14723354722,-205.816354019053,-1309.92069687793
"iso_combo5_434",-1313.05979944239,-202.728919914227,-1306.8332627731
"iso_combo5_435",-1123.30341106727,-12.9725315391024,-1117.07687439798
"iso_combo5_436",-1269.61200355847,-159.281124030305,-1263.38546688918
"iso_combo5_437",-1292.66643267888,-182.335553150716,-1286.43989600959
"iso_combo5_438",-1286.35138224681,-176.020502718644,-1280.12484557752
"iso_combo5_439",-1311.50904030224,-201.178160774078,-1305.28250363295
"iso_combo5_440",-1075.98394265445,34.3469368737181,-1069.75740598516
"iso_combo5_441",-1302.17986279625,-191.848983268081,-1295.95332612696
"iso_combo5_442",-1309.10840596758,-198.777526439413,-1302.88186929829
"iso_combo5_443",-1313.47949544945,-203.148615921286,-1307.25295878016
"iso_combo5_444",-1115.91712843655,-5.58624890838769,-1109.69059176726
"iso_combo5_445",-1305.7781232061,-195.447243677936,-1299.55158653681
"iso_combo5_446",-1307.73640076707,-197.405521238902,-1301.50986409778
"iso_combo5_447",-1106.97160008408,3.35927944408002,-1100.7450634148
"iso_combo5_448",-1274.64965089041,-164.31877136225,-1268.42311422113
"iso_combo5_449",-1119.35489595297,-9.02401642480584,-1113.12835928368
"iso_combo5_450",-1149.38660611103,-39.0557265828648,-1143.16006944174
"iso_combo5_451",-1191.88034114801,-81.5494616198424,-1185.65380447872
"iso_combo5_452",-1215.86281557401,-105.531936045844,-1209.63627890472
"iso_combo5_453",-1237.23155902046,-126.900679492293,-1231.00502235117
"iso_combo5_454",-1222.68803542259,-112.357155894426,-1216.4614987533
"iso_combo5_455",-1189.56052902313,-79.2296494949629,-1183.33399235384
"iso_combo5_456",-1098.50362957007,11.8272499580951,-1092.27709290078
"iso_combo5_457",-1210.78941966675,-100.458540138582,-1204.56288299746
"iso_combo5_458",-1213.02467488322,-102.693795355059,-1206.79813821394
"iso_combo5_459",-1210.66954786442,-100.338668336258,-1204.44301119514
"iso_combo5_460",-1184.84369372176,-74.5128141935952,-1178.61715705247
"iso_combo5_461",-1087.27524700024,23.0556325279225,-1081.04871033095
"iso_combo5_462",-1221.55283666678,-111.221957138612,-1215.32629999749
"iso_combo5_463",-1236.25581115412,-125.924931625952,-1230.02927448483
"iso_combo5_464",-1213.41365362725,-103.082774099086,-1207.18711695796
"iso_combo5_465",-1106.13135129106,4.19952823710162,-1099.90481462178
"iso_combo5_466",-1230.18442086972,-119.853541341559,-1223.95788420044
"iso_combo5_467",-1202.34129823444,-92.0104187062798,-1196.11476156516
"iso_combo5_468",-1087.97840827467,22.3524712534953,-1081.75187160538
"iso_combo5_469",-1206.66985788604,-96.3389783578756,-1200.44332121675
"iso_combo5_470",-1091.85353111685,18.4773484113151,-1085.62699444756
"iso_combo5_471",-1098.99151659438,11.3393629337825,-1092.76497992509
"iso_combo5_472",-1306.71372594571,-196.382846417545,-1300.48718927642
"iso_combo5_473",-1329.29208418893,-218.961204660769,-1323.06554751965
"iso_combo5_474",-1320.94189109625,-210.611011568087,-1314.71535442696
"iso_combo5_475",-1315.50687542609,-205.175995897927,-1309.2803387568
"iso_combo5_476",-1154.11967695855,-43.7887974303809,-1147.89314028926
"iso_combo5_477",-1348.36500584721,-238.034126319047,-1342.13846917792
"iso_combo5_478",-1364.11635387345,-253.785474345288,-1357.88981720417
"iso_combo5_479",-1353.50876792345,-243.177888395284,-1347.28223125416
"iso_combo5_480",-1160.73314784959,-50.4022683214265,-1154.5066111803
"iso_combo5_481",-1349.78156151525,-239.450681987087,-1343.55502484596
"iso_combo5_482",-1345.95758755892,-235.626708030753,-1339.73105088963
"iso_combo5_483",-1148.81398207791,-38.4831025497423,-1142.58744540862
"iso_combo5_484",-1342.00048452853,-231.669605000366,-1335.77394785924
"iso_combo5_485",-1140.69702745954,-30.3661479313804,-1134.47049079026
"iso_combo5_486",-1160.65839656677,-50.3275170386078,-1154.43185989748
"iso_combo5_487",-1303.5965235031,-193.265643974932,-1297.36998683381
"iso_combo5_488",-1342.10312245966,-231.7722429315,-1335.87658579038
"iso_combo5_489",-1316.96097429499,-206.63009476683,-1310.73443762571
"iso_combo5_490",-1137.01215625641,-26.6812767282418,-1130.78561958712
"iso_combo5_491",-1344.13802059103,-233.807141062861,-1337.91148392174
"iso_combo5_492",-1346.64286331126,-236.311983783093,-1340.41632664197
"iso_combo5_493",-1148.983281783,-38.6524022548379,-1142.75674511371
"iso_combo5_494",-1322.86187036789,-212.530990839728,-1316.6353336986
"iso_combo5_495",-1121.96503692446,-11.6341573962914,-1115.73850025517
"iso_combo5_496",-1148.182207277,-37.8513277488385,-1141.95567060772
"iso_combo5_497",-1343.03730313348,-232.70642360532,-1336.8107664642
"iso_combo5_498",-1342.63191157174,-232.301032043578,-1336.40537490246
"iso_combo5_499",-1142.13036229809,-31.7994827699277,-1135.9038256288
"iso_combo5_500",-1338.56785018721,-228.236970659046,-1332.34131351792
"iso_combo5_501",-1154.45697629413,-44.1260967659649,-1148.23043962484
"iso_combo5_502",-1168.15109456756,-57.8202150393992,-1161.92455789828
"iso_combo5_503",-1353.29854989082,-242.967670362657,-1347.07201322153
"iso_combo5_504",-1118.70220164626,-8.37132211809296,-1112.47566497697
"iso_combo5_505",-1135.00711836799,-24.6762388398253,-1128.7805816987
"iso_combo5_506",-1145.1744831141,-34.8436035859387,-1138.94794644482
"iso_combo5_507",-1334.76024682944,-224.429367301275,-1328.53371016015
"iso_combo5_508",-1317.63290548552,-207.302025957359,-1311.40636881624
"iso_combo5_509",-1358.5506368256,-248.219757297441,-1352.32410015632
"iso_combo5_510",-1347.1464494746,-236.815569946441,-1340.91991280532
"iso_combo5_511",-1365.03286804867,-254.701988520509,-1358.80633137939
"iso_combo5_512",-1368.61452564971,-258.283646121546,-1362.38798898042
"iso_combo5_513",-1368.28348414875,-257.95260462059,-1362.05694747947
"iso_combo5_514",-1333.73784932908,-223.40696980092,-1327.5113126598
"iso_combo5_515",-1194.40756922237,-84.0766896942073,-1188.18103255308
"iso_combo5_516",-1287.03744652168,-176.706566993516,-1280.81090985239
"iso_combo5_517",-1357.72287172435,-247.391992196185,-1351.49633505506
"iso_combo5_518",-1313.49877348013,-203.167893951962,-1307.27223681084
"iso_combo5_519",-1354.07889503179,-243.748015503629,-1347.85235836251
"iso_combo5_520",-1335.99730464646,-225.666425118294,-1329.77076797717
"iso_combo5_521",-1364.22468299911,-253.893803470944,-1357.99814632982
"iso_combo5_522",-1352.53737822112,-242.206498692952,-1346.31084155183
"iso_combo5_523",-1146.95990983235,-36.6290303041869,-1140.73337316306
"iso_combo5_524",-1321.26716285313,-210.936283324963,-1315.04062618384
"iso_combo5_525",-1289.83396350797,-179.503083979803,-1283.60742683868
"iso_combo5_526",-1316.77797440348,-206.447094875319,-1310.5514377342
"iso_combo5_527",-1311.68992174487,-201.359042216703,-1305.46338507558
"iso_combo5_528",-1319.27947422736,-208.9485946992,-1313.05293755808
"iso_combo5_529",-1303.38510583492,-193.054226306755,-1297.15856916563
"iso_combo5_530",-1165.42814478202,-55.097265253859,-1159.20160811274
"iso_combo5_531",-1364.96641937522,-254.635539847056,-1358.73988270593
"iso_combo5_532",-1392.63902276073,-282.308143232564,-1386.41248609144
"iso_combo5_533",-1393.18223884561,-282.851359317445,-1386.95570217632
"iso_combo5_534",-1381.57785705763,-271.246977529465,-1375.35132038834
"iso_combo5_535",-1379.47082860032,-269.139949072151,-1373.24429193103
"iso_combo5_536",-1183.79097968495,-73.4601001567846,-1177.56444301566
"iso_combo5_537",-1330.7499308879,-220.41905135974,-1324.52339421862
"iso_combo5_538",-1341.72413997323,-231.393260445068,-1335.49760330395
"iso_combo5_539",-1352.94138155678,-242.610502028613,-1346.71484488749
"iso_combo5_540",-1340.68932814664,-230.358448618479,-1334.46279147736
"iso_combo5_541",-1176.72002244808,-66.3891429199149,-1170.49348577879
"iso_combo5_542",-1394.24981709975,-283.918937571589,-1388.02328043047
"iso_combo5_543",-1407.94830745419,-297.61742792603,-1401.72177078491
"iso_combo5_544",-1378.07092507752,-267.740045549355,-1371.84438840823
"iso_combo5_545",-1164.7436904211,-54.4128108929402,-1158.51715375182
"iso_combo5_546",-1391.85610004333,-281.525220515168,-1385.62956337405
"iso_combo5_547",-1355.89500801156,-245.564128483392,-1349.66847134227
"iso_combo5_548",-1151.82860336304,-41.4977238348795,-1145.60206669376
"iso_combo5_549",-1389.25340892254,-278.922529394376,-1383.02687225325
"iso_combo5_550",-1159.51884131462,-49.1879617864516,-1153.29230464533
"iso_combo5_551",-1183.87251556052,-73.5416360323567,-1177.64597889123
"iso_combo5_552",-1254.62901796231,-144.298138434144,-1248.40248129302
"iso_combo5_553",-1332.93988110612,-222.609001577958,-1326.71334443683
"iso_combo5_554",-1299.12636505356,-188.795485525392,-1292.89982838427
"iso_combo5_555",-1326.10571531257,-215.77483578441,-1319.87917864329
"iso_combo5_556",-1315.09870138647,-204.767821858303,-1308.87216471718
"iso_combo5_557",-1318.28947452746,-207.958594999294,-1312.06293785817
"iso_combo5_558",-1294.59665613568,-184.265776607519,-1288.3701194664
"iso_combo5_559",-1135.75186254721,-25.4209830190488,-1129.52532587793
"iso_combo5_560",-1320.62932806501,-210.298448536847,-1314.40279139572
"iso_combo5_561",-1281.56972720017,-171.238847672008,-1275.34319053089
"iso_combo5_562",-1291.82976642609,-181.498886897923,-1285.6032297568
"iso_combo5_563",-1295.18593213019,-184.855052602028,-1288.9593954609
"iso_combo5_564",-1293.94806826186,-183.617188733695,-1287.72153159257
"iso_combo5_565",-1311.69589598345,-201.365016455288,-1305.46935931416
"iso_combo5_566",-1180.10942021858,-69.7785406904161,-1173.88288354929
"iso_combo5_567",-1353.12620588057,-242.795326352406,-1346.89966921128
"iso_combo5_568",-1380.45238720635,-270.121507678184,-1374.22585053706
"iso_combo5_569",-1372.74524679633,-262.414367268168,-1366.51871012704
"iso_combo5_570",-1386.97119304436,-276.640313516198,-1380.74465637508
"iso_combo5_571",-1364.61319519449,-254.282315666321,-1358.3866585252
"iso_combo5_572",-1195.98848552865,-85.6576060004877,-1189.76194885936
"iso_combo5_573",-1345.27267223054,-234.941792702372,-1339.04613556125
"iso_combo5_574",-1348.74103653015,-238.410157001987,-1342.51449986086
"iso_combo5_575",-1333.30958469954,-222.97870517138,-1327.08304803026
"iso_combo5_576",-1344.95648609637,-234.625606568203,-1338.72994942708
"iso_combo5_577",-1176.7344056092,-66.4035260810397,-1170.50786893992
"iso_combo5_578",-1375.734297758,-265.403418229833,-1369.50776108871
"iso_combo5_579",-1383.00177518032,-272.670895652157,-1376.77523851103
"iso_combo5_580",-1384.12959115506,-273.798711626896,-1377.90305448577
"iso_combo5_581",-1195.9770218077,-85.646142279537,-1189.75048513841
"iso_combo5_582",-1376.71652270079,-266.385643172625,-1370.4899860315
"iso_combo5_583",-1368.21330545943,-257.882425931269,-1361.98676879015
"iso_combo5_584",-1177.31166177896,-66.9807822507952,-1171.08512510967
"iso_combo5_585",-1374.86434339683,-264.533463868666,-1368.63780672754
"iso_combo5_586",-1172.15328958037,-61.8224100522099,-1165.92675291109
"iso_combo5_587",-1213.13135924589,-102.800479717722,-1206.9048225766
"iso_combo5_588",-1277.72288808512,-167.392008556953,-1271.49635141583
"iso_combo5_589",-1240.09520585254,-129.764326324375,-1233.86866918325
"iso_combo5_590",-1283.77205943897,-173.441179910804,-1277.54552276968
"iso_combo5_591",-1292.72784121662,-182.396961688459,-1286.50130454734
"iso_combo5_592",-1275.2650330414,-164.934153513238,-1269.03849637211
"iso_combo5_593",-1246.57621796436,-136.245338436195,-1240.34968129507
"iso_combo5_594",-1108.13351706214,2.19736246602861,-1101.90698039285
"iso_combo5_595",-1338.12671422828,-227.795834700113,-1331.90017755899
"iso_combo5_596",-1367.63988333343,-257.30900380527,-1361.41334666415
"iso_combo5_597",-1377.77669487861,-267.445815350441,-1371.55015820932
"iso_combo5_598",-1343.8764515672,-233.545572039032,-1337.64991489791
"iso_combo5_599",-1365.41462328264,-255.083743754472,-1359.18808661335
"iso_combo5_600",-1130.61423538134,-20.2833558531715,-1124.38769871205
"iso_combo5_601",-1346.97816361734,-236.647284089176,-1340.75162694805
"iso_combo5_602",-1325.55273631217,-215.22185678401,-1319.32619964289
"iso_combo5_603",-1305.97754618594,-195.646666657773,-1299.75100951665
"iso_combo5_604",-1329.01115718598,-218.680277657812,-1322.78462051669
"iso_combo5_605",-1117.40925969418,-7.07838016601102,-1111.18272302489
"iso_combo5_606",-1353.13038088124,-242.79950135308,-1346.90384421196
"iso_combo5_607",-1345.01127260163,-234.680393073469,-1338.78473593235
"iso_combo5_608",-1345.21652037533,-234.885640847169,-1338.98998370605
"iso_combo5_609",-1142.7625378041,-32.4316582759309,-1136.53600113481
"iso_combo5_610",-1354.71012810457,-244.379248576402,-1348.48359143528
"iso_combo5_611",-1323.90092341678,-213.570043888619,-1317.6743867475
"iso_combo5_612",-1126.71135717778,-16.3804776496133,-1120.48482050849
"iso_combo5_613",-1343.34931446552,-233.018434937357,-1337.12277779623
"iso_combo5_614",-1130.44060397689,-20.1097244487265,-1124.2140673076
"iso_combo5_615",-1123.51673063068,-13.1858511025109,-1117.29019396139
"iso_combo5_616",-1278.31691751501,-167.986037986846,-1272.09038084572
"iso_combo5_617",-1305.64373054719,-195.312851019029,-1299.41719387791
"iso_combo5_618",-1302.61086854469,-192.279989016521,-1296.3843318754
"iso_combo5_619",-1307.19736810427,-196.866488576104,-1300.97083143498
"iso_combo5_620",-1292.93291438771,-182.602034859544,-1286.70637771842
"iso_combo5_621",-1178.36303900689,-68.0321594787305,-1172.13650233761
"iso_combo5_622",-1276.90101980426,-166.5701402761,-1270.67448313498
"iso_combo5_623",-1261.40560426572,-151.074724737558,-1255.17906759644
"iso_combo5_624",-1279.51091627374,-169.180036745577,-1273.28437960445
"iso_combo5_625",-1260.93172334776,-150.600843819599,-1254.70518667848
"iso_combo5_626",-1128.92802232054,-18.5971427923715,-1122.70148565125
"iso_combo5_627",-1320.42600826808,-210.095128739912,-1314.19947159879
"iso_combo5_628",-1325.47765030255,-215.146770774382,-1319.25111363326
"iso_combo5_629",-1275.63558477523,-165.304705247065,-1269.40904810594
"iso_combo5_630",-1137.34781461321,-27.0169350850475,-1131.12127794392
"iso_combo5_631",-1316.61542913255,-206.284549604382,-1310.38889246326
"iso_combo5_632",-1282.74268699423,-172.411807466062,-1276.51615032494
"iso_combo5_633",-1118.84727279138,-8.51639326321629,-1112.62073612209
"iso_combo5_634",-1306.36310140932,-196.032221881155,-1300.13656474003
"iso_combo5_635",-1153.91718530207,-43.5863057739084,-1147.69064863279
"iso_combo5_636",-1171.06205967451,-60.7311801463463,-1164.83552300522
"iso_combo5_637",-1350.85772741497,-240.526847886804,-1344.63119074568
"iso_combo5_638",-1362.86251329384,-252.531633765678,-1356.63597662455
"iso_combo5_639",-1360.40881416575,-250.077934637584,-1354.18227749646
"iso_combo5_640",-1365.67658402686,-255.345704498698,-1359.45004735757
"iso_combo5_641",-1156.27489808214,-45.9440185539804,-1150.04836141286
"iso_combo5_642",-1385.88366330722,-275.552783779059,-1379.65712663794
"iso_combo5_643",-1404.30706093865,-293.976181410485,-1398.08052426936
"iso_combo5_644",-1378.11996753073,-267.789088002563,-1371.89343086144
"iso_combo5_645",-1165.18326883721,-54.8523893090467,-1158.95673216792
"iso_combo5_646",-1395.70252441164,-285.37164488348,-1389.47598774236
"iso_combo5_647",-1366.56558234834,-256.234702820178,-1360.33904567905
"iso_combo5_648",-1163.9007510618,-53.5698715336357,-1157.67421439251
"iso_combo5_649",-1375.27682493136,-264.945945403195,-1369.05028826207
"iso_combo5_650",-1173.9227803091,-63.5919007809393,-1167.69624363982
"iso_combo5_651",-1178.95263641847,-68.6217568903036,-1172.72609974918
"iso_combo5_652",-1341.6869937182,-231.356114190037,-1335.46045704891
"iso_combo5_653",-1364.42366660747,-254.092787079308,-1358.19712993818
"iso_combo5_654",-1344.13957342945,-233.808693901283,-1337.91303676016
"iso_combo5_655",-1143.0931412032,-32.7622616750308,-1136.86660453391
"iso_combo5_656",-1354.60474707691,-244.273867548749,-1348.37821040763
"iso_combo5_657",-1347.86334113946,-237.532461611294,-1341.63680447017
"iso_combo5_658",-1150.29006682811,-39.9591872999463,-1144.06353015882
"iso_combo5_659",-1339.13885569601,-228.80797616785,-1332.91231902673
"iso_combo5_660",-1137.29074415327,-26.9598646251037,-1131.06420748398
"iso_combo5_661",-1131.85082656993,-21.5199470417676,-1125.62428990064
"iso_combo5_662",-1390.95893700893,-280.628057480763,-1384.73240033964
"iso_combo5_663",-1356.35329977093,-246.022420242768,-1350.12676310164
"iso_combo5_664",-1151.92444867879,-41.5935691506213,-1145.6979120095
"iso_combo5_665",-1389.59926235648,-279.268382828317,-1383.37272568719
"iso_combo5_666",-1166.97145591155,-56.640576383387,-1160.74491924226
"iso_combo5_667",-1170.42086635779,-60.0899868296284,-1164.19432968851
"iso_combo5_668",-1389.62714929631,-279.296269768149,-1383.40061262703
"iso_combo5_669",-1158.53016101034,-48.1992814821782,-1152.30362434105
"iso_combo5_670",-1167.12310877929,-56.7922292511296,-1160.89657211001
"iso_combo5_671",-1159.16366162197,-48.832782093801,-1152.93712495268
"iso_combo5_672",-1239.83373567122,-129.502856143056,-1233.60719900193
"iso_combo5_673",-1302.8522210555,-192.521341527335,-1296.62568438621
"iso_combo5_674",-1280.6795636042,-170.348684076034,-1274.45302693491
"iso_combo5_675",-1332.27863159881,-221.947752070649,-1326.05209492953
"iso_combo5_676",-1312.55711826768,-202.226238739514,-1306.33058159839
"iso_combo5_677",-1321.15710124646,-210.826221718299,-1314.93056457718
"iso_combo5_678",-1296.78780761401,-186.456928085843,-1290.56127094472
"iso_combo5_679",-1143.04062179687,-32.7097422687023,-1136.81408512758
"iso_combo5_680",-1296.07874959562,-185.747870067454,-1289.85221292633
"iso_combo5_681",-1260.45134560688,-150.120466078719,-1254.2248089376
"iso_combo5_682",-1281.60252217939,-171.271642651222,-1275.3759855101
"iso_combo5_683",-1289.43684622942,-179.105966701257,-1283.21030956013
"iso_combo5_684",-1285.65877416809,-175.327894639924,-1279.4322374988
"iso_combo5_685",-1272.83866244729,-162.507782919126,-1266.612125778
"iso_combo5_686",-1158.72967419981,-48.3987946716453,-1152.50313753052
"iso_combo5_687",-1333.16704960206,-222.836170073897,-1326.94051293277
"iso_combo5_688",-1371.63077816434,-261.299898636177,-1365.40424149505
"iso_combo5_689",-1356.68480682627,-246.35392729811,-1350.45827015699
"iso_combo5_690",-1374.65476999299,-264.323890464824,-1368.4282333237
"iso_combo5_691",-1332.78877109591,-222.457891567742,-1326.56223442662
"iso_combo5_692",-1181.70461274974,-71.3737332215776,-1175.47807608045
"iso_combo5_693",-1329.52609953514,-219.195220006976,-1323.29956286585
"iso_combo5_694",-1343.00262434982,-232.671744821653,-1336.77608768053
"iso_combo5_695",-1345.78811094337,-235.457231415206,-1339.56157427408
"iso_combo5_696",-1324.35173369115,-214.020854162981,-1318.12519702186
"iso_combo5_697",-1168.80286508243,-58.4719855542697,-1162.57632841315
